ID,Name,WeightedItem,SuggestedSellingPrice
400,TOFFEE APPLES,N,1
55239,KOSHER 1LT SOUP,N,113.99
48797,FLM MIXED APPELS 8 CUP,N,249.99
48798,FLM GRANNY SMITH 8 CUP,N,249.99
48799,FLM STARKING 8 CUP,N,199.99
48800,FLM TOP RED 8 CUP,N,159.99
48801,FLM BRAEBURN 8 CUP,N,159.99
48805,FLM FUJI 8 CUP,N,49.99
48806,FLM GOLDEN DELICIOUS 8 CUP,N,19.99
48807,FLM CRISPPS RED 8 CUP,N,19.99
48816,FLM CRISPPS PINK 8 CUP,N,24.99
50258,FLM ROYAL GALA 8 CUP,N,42.49
2419,BISCUITS,Y,9.99
6147,DOUGH,Y,9.99
6380,MULTI GRAN MIX,Y,9.99
39926,DOUGH SWEET PASTRY LARGE,1,9.99
39927,DOUGH SWEET PASTRY SMALL,Y,9.99
49817,MYOMY PITA POCKET WHITE 5S,N,25.49
55661,MYOMY LARGE WHTE ROTI 10S,N,99.99
55662,MYOMY SMALL WHT ROTI  5S,N,26.95
55665,MYOMY P/BASE BITES SQUARE  30S,N,19.95
55666,MYOMY P/BASE MINI ROUND 10S,N,19.95
55745,MYOMY P/BASE MEDIUM ROUND 4S,N,-
53106,FOL BARRACOUTA HEADED & GUTTED,Y,29.99
53114,FOL MILD CURED SNOEK,Y,44.99
53115,FOL SMOKED SNOEK 1KG,N,79.99
53312,BRECO MACKERAL PEPPERED,Y,109.99
53330,BRECO SNOEK MILD CURE (L),Y,44.99
53331,BRECO SMOKED SNOEK,Y,79.99
54177,F/L MAASBANKER W/RND 25,Y,1
54874,BLUE A SNOEK MILD CURED,Y,39.99
54883,BLUE A SNOEK SMOKED BOX 500G,N,44.99
55841,F/L OAK SMOKD SNOEK 1KG,N,69.99
55842,F/L BRAAI SNOEK 1KG,N,59.99
57608,BRAAI SNOEK 900G,N,79.99
57609,BRECO OAK SMOKED SNOEK 1KG,N,89.99
58837,PESC SNOEK MILD CURED,Y,41.99
